"Title";"Seed";"Leech";"Poidsdutorrent";"date";"Categories";"Genre";"Plot"
"Mon frère FRENCH WEBRIP 2019";"428";"117";"702.84MB";"16/01/2020";"Films";"Drame";"Parce qu’il voulait protéger son petit frère d’un père trop violent, Teddy, un jeune sans histoire, se voit accusé du meurtre de son père et est envoyé dans un Centre Educatif Fermé, dans l’attente de son procès pour parricide. Il plonge alors dans un univers brutal dont il ne connaît pas les règles. Il fait la connaissance d’Enzo, le caïd du centre. Après une période d’affrontement dur, leur amitié va leur permettre de déjouer le destin qui leur était promis."
"Mon Inconnue FRENCH WEBRIP 2019";"346";"129";"693.74MB";"16/01/2020";"Films";"Comédie";NA
"Non-Stop TRUEFRENCH HDLight 1080p 2014";"302";"119";"2.3GB";"16/01/2020";"Films";"Policier,Thriller";"Alors qu'il est en plein vol, un agent de la police de l’air reçoit des SMS d’un inconnu qui dit être à bord et vouloir assassiner un passager toutes les 20 minutes s'il ne reçoit pas 150 millions de dollars."
"Upgrade TRUEFRENCH HDLight 1080p 2018";"405";"89";"2.54GB";"16/01/2020";"Films";"Sciencefiction";"Après la mort de son épouse lors d'une violente agression qui l'a laissé paralysé, Grey Trace est approché par un inventeur milliardaire qui propose de lui administrer un remède expérimental qui va \"upgrader\" son corps et ses facultés. Désormais doté d'un implant fonctionnant à l'intelligence artificielle, Grey voit ses capacités physiques décuplées et se lance dans une mission vengeresse, afin de faire payer ceux qui ont tué sa femme."
"Rio 2 TRUEFRENCH HDLight 1080p 2014";"229";"111";"2.61GB";"16/01/2020";"Films";"Animation";"Blu a pris son envol et se sent désormais chez lui à Rio de Janeiro, aux côtés de Perla et de leurs trois enfants. Mais la vie de perroquet ne s’apprend pas en ville et Perla insiste pour que la famille s’installe dans la forêt amazonienne alors qu'ils découvrent que d'autres aras bleus y vivent."
"Rio TRUEFRENCH HDLight 1080p 2011";"152";"58";"2.59GB";"16/01/2020";"Films";"Animation";"Blu, un perroquet bleu d’une espèce très rare, quitte sa petite ville sous la neige et le confort de sa cage pour s’aventurer au cœur des merveilles exotiques de Rio de Janeiro. Sachant qu’il n’a jamais appris à voler, l’aventure grandiose qui l’attend au Brésil va lui faire perdre quelques plumes ! Heureusement, ses nouveaux amis hauts en couleurs sont prêts à tout pour réveiller le héros qui est en lui, et lui faire découvrir tout le sens de l’expression « prendre son envol »."
"Portrait de la jeune fille en feu FRENCH WEBRIP 2020";"245";"106";"1.37GB";"16/01/2020";"Films";"Drame";"1770. Marianne est peintre et doit réaliser le portrait de mariage d’Héloïse, une jeune femme qui vient de quitter le couvent. Héloïse résiste à son destin d’épouse en refusant de poser. Marianne va devoir la peindre en secret. Introduite auprès d’elle en tant que dame de compagnie, elle la regarde."
"Terminator: Dark Fate FRENCH BluRay 1080p 2020";"1161";"820";"9.09GB";"16/01/2020";"Films";"Action,Aventure";"De nos jours à Mexico. Dani Ramos, 21 ans, travaille sur une chaîne de montage dans une usine automobile. Celle-ci voit sa vie bouleversée quand elle se retrouve soudainement confrontée à 2 inconnus : d’un côté Gabriel, une machine Terminator des plus évoluées, indestructible et protéiforme, un « Rev-9 », venue du futur pour la tuer ; de l’autre Grace, un super-soldat génétiquement augmenté, envoyée pour la protéger. Embarquées dans une haletante course-poursuite à travers la ville, Dani et Grace ne doivent leur salut qu’à l’intervention de la redoutable Sarah Connor, qui, avec l’aide d’une source mystérieuse, traque les Terminators depuis des décennies. Déterminées à rejoindre cet allié inconnu au Texas, elles se mettent en route, mais le Terminator Rev-9 les poursuit sans relâche, de même que la police, les drones et les patrouilles frontalières… L’enjeu est d’autant plus grand que sauver Dani, c’est sauver l’avenir de l’humanité."
"Jexi FRENCH DVDRIP 2020";"1184";"372";"696.72MB";"16/01/2020";"Films";"Comédie";"Un jeune homme tombe amoureux d'une intelligence artificielle qu'il retrouve et côtoie dans chacun de ses appareils technologiques."
"1917 TRUEFRENCH HDTS 2020";"1304";"381";"1.3GB";"15/01/2020";"Films";"Drame";NA
"The Grudge TRUEFRENCH HDTS MD 2020";"934";"421";"975.62MB";"15/01/2020";"Films";"Epouvante-horreur";"Video 6/10 - Son 6/10"
"Invincible Dragon FRENCH DVDRIP 2020";"5077";"1418";"695.27MB";"15/01/2020";"Films";"Action,Aventure";"Un agent infiltré se heurte à un détective de Macau et avec un vétéran de l'armée américaine."
"Les Baronnes TRUEFRENCH DVDRIP 2019";"948";"191";"701.34MB";"15/01/2020";"Films";"Drame";"New York, 1978. Entre ses prêteurs sur gages, ses sex-shops et ses bars clandestins tenus par la pègre irlandaise, Hell's Kitchen a toujours été un quartier difficile. Et mal famé. Mais pour Kathy, Ruby et Claire, épouses de mafieux, la situation est sur le point de basculer. Car lorsque leurs maris sont envoyés en prison par le FBI, elles reprennent en main les affaires familiales, en poursuivant leurs trafics et en éliminant la concurrence … au sens littéral. Désormais, ce sont elles qui tiennent le quartier."
"Countdown FRENCH DVDRIP 2020";"4575";"842";"695.74MB";"15/01/2020";"Films";"Epouvante-horreur";"Voulez-vous savoir combien de temps il vous reste à vivre ? Téléchargez l’appli Countdown ! Lorsque Quinn, une jeune infirmière, télécharge cette application à la mode, elle découvre qu’il ne lui reste que 3 jours à vivre. Elle doit trouver un moyen d’échapper à son sinistre destin avant la fin du compte à rebours."
"Code 8 FRENCH DVDRIP 2019";"2199";"404";"700.93MB";"15/01/2020";"Films";"Sciencefiction";"Dans un monde où 4% de la population est née avec des pouvoirs surnaturels, et où ces personnes sont discriminées et traquées sans relâche, un ex-malfrat et un trafiquant de drogue possédant un don de télékinésie s'allient pour mettre fin à un dangereux réseau de criminels."
"Le Dernier roi d'Ecosse FRENCH HDLight 1080p 2006";"171";"47";"2.96GB";"15/01/2020";"Films";"Drame";"Jeune médecin écossais tout juste diplômé, Nicholas Garrigan débarque en Ouganda en quête d'aventure et décidé à venir en aide à la population. Peu après son arrivée, il est appelé sur les lieux d'un accident : le nouveau leader du pays, Idi Amin Dada, a percuté une vache avec sa Citroen DS. La façon dont Garrigan maîtrise la situation, son calme et sa franchise surprennent Amin Dada. Fasciné par l'Histoire et la culture écossaise, il trouve le jeune homme sympathique et lui propose de devenir son médecin personnel. Séduit par le charisme du chef de l'Etat, le jeune médecin rejoint le cercle présidentiel au sein duquel il mène grand train. Bombardé confident du dictateur, piégé au coeur de la mégalomanie meurtrière d'Amin Dada, Garrigan, témoin d'enlèvements et d'assassinats, devient malgré lui peu à peu complice d'un des plus terrifiants régimes africains du XXème siècle."
"Le Chat chapeauté FRENCH HDLight 1080p 2003";"124";"36";"1.89GB";"15/01/2020";"Films";"Comédie";"Elle est très sérieuse, trop organisée pour être naturelle et ne manque jamais une occasion de blâmer son frère. Il ne pense qu'à s'amuser, ne sait pas ce que \" responsabilité \" veut dire et n'écoute jamais sa soeur. Alors que leur mère les laisse seuls dans la maison, l'irruption d'un chat géant et de son chapeau magique va leur apprendre à compter l'un sur l'autre et surtout à enfin s'aimer..."
"Shaft FRENCH DVDRIP 2019";"568";"55";"694.35MB";"14/01/2020";"Films";"Action,Aventure";"Le légendaire détective privé John Shaft II fait équipe avec son fils, l'expert en cybersécurité JJ Shaft Jr., pour tenter d'en savoir plus sur un décès suspect en parcourant les rues de Harlem."
"Lune de Miel FRENCH WEBRIP 2019";"124";"19";"695.64MB";"14/01/2020";"Films";"Comédie";NA
"Tall Girl FRENCH WEBRIP 2019";"239";"36";"694.7MB";"14/01/2020";"Films";"Drame";"Jodi a 16 ans, mesure 1,90m et n'a jamais eu de petit ami. Mais cela pourrait bien changer quand un nouvel élève aussi grand qu'elle arrive au lycée."
"Séduis-moi si tu peux ! TRUEFRENCH DVDRIP 2019";"314";"103";"1.37GB";"14/01/2020";"Films";"Comédie";"Fred, un journaliste au chômage, a été embauché pour écrire les discours de campagne de Charlotte Field, en course pour devenir la prochaine présidente des Etats-Unis et qui n’est autre... que son ancienne baby-sitter ! Avec son allure débraillée, son humour et son franc-parler, Fred fait tâche dans l’entourage ultra codifié de Charlotte. Tout les sépare et pourtant leur complicité est évidente. Mais une femme promise à un si grand avenir peut-elle se laisser séduire par un homme maladroit et touchant ?"
"Prospect FRENCH DVDRIP 2019";"446";"74";"693.64MB";"14/01/2020";"Films";"Sciencefiction";"Une adolescente et son père parcourent une forêt toxique située sur une lune lointaine à la recherche de précieux minéraux. Mais ils ne sont pas les seuls et leur quête se transforme en une lutte désespérée pour survivre. "
"Realive FRENCH DVDRIP 2019";"472";"44";"701.06MB";"14/01/2020";"Films";"Sciencefiction";"Marc est un jeune trentenaire à qui tout réussit. Lorsqu’il apprend qu’il ne lui reste plus qu’un an à vivre, il prend une décision radicale : cryogéniser son corps dans l'espoir qu'on puisse le guérir dans le futur. A son réveil, 60 ans plus tard, sans repères et séparé de ses proches, Marc découvre un monde dans lequel il est devenu un étranger."
"Downton Abbey TRUEFRENCH DVDRIP 2019";"417";"76";"1.37GB";"14/01/2020";"Films";"Drame";"Les Crawley et leur personnel intrépide se préparent à vivre l'événement le plus important de leur vie : une visite du roi et de la reine d'Angleterre. Cette venue ne tardera pas à déclencher scandales, intrigues amoureuses et manigances qui pèseront sur l'avenir même de Downton."
"Shéhérazade FRENCH DVDRIP 2019";"196";"22";"692.34MB";"14/01/2020";"Films";"Drame";"Zachary, 17 ans, sort de prison. Rejeté par sa mère, il traîne dans les quartiers populaires de Marseille. C'est là qu'il rencontre Shéhérazade..."
"Une Saison en France FRENCH WEBRIP 2018";"124";"17";"698.5MB";"14/01/2020";"Films";"Drame";"Abbas, professeur de français, a fui la guerre en Centrafrique pour bâtir une nouvelle vie en France. En attendant d’obtenir le statut de réfugié, le quotidien d’Abbas s’organise : ses enfants sont scolarisés et il travaille sur un marché où il a rencontré Carole, sensible au courage de cet homme encore hanté par les fantômes du passé. Mais si le droit d'asile lui était refusé, qu'adviendrait-il d'Abbas et de sa famille déracinée ? Et de Carole, privée du foyer qu’elle a cru reconstruire ?"
"The Hurricane Heist VOSTFR DVDRIP 2018";"59";"13";"1.37GB";"14/01/2020";"Films";"Action,Aventure";"Profitant du plus gros ouragan ayant jamais touché les Etats-Unis, une équipe de braqueurs d’élite infiltre la plus grande réserve de billets des États-Unis. Leur objectif : un braquage exceptionnel de 600 millions de dollars. Dans la ville désertée, Casey, une des convoyeuses de fond, et Will, un météorologiste de génie, vont devoir unir leurs forces en utilisant les connaissances de Will pour survivre au milieu de cette « tempête du siècle » et empêcher ces voleurs impitoyables de parvenir à leurs fins."
"Step Up Year of the dance FRENCH WEBRIP 2019";"411";"46";"701.84MB";"14/01/2020";"Films";"Comédiemusicale";"Un jeune délinquant qui sort de prison s'associe avec le fils d'un riche industriel pour monter un crew de Street Dance. Leurs origines les opposent mais leur passion les réunit. A force de travail et de talent, ils parviennent à se qualifier pour une grande compétition internationale où ils espèrent défier les \"phantoms\", le meilleur crew du monde."
"Terminator: Dark Fate FRENCH WEBRIP 2020";"4356";"818";"1.37GB";"14/01/2020";"Films";"Action,Aventure";"De nos jours à Mexico. Dani Ramos, 21 ans, travaille sur une chaîne de montage dans une usine automobile. Celle-ci voit sa vie bouleversée quand elle se retrouve soudainement confrontée à 2 inconnus : d’un côté Gabriel, une machine Terminator des plus évoluées, indestructible et protéiforme, un « Rev-9 », venue du futur pour la tuer ; de l’autre Grace, un super-soldat génétiquement augmenté, envoyée pour la protéger. Embarquées dans une haletante course-poursuite à travers la ville, Dani et Grace ne doivent leur salut qu’à l’intervention de la redoutable Sarah Connor, qui, avec l’aide d’une source mystérieuse, traque les Terminators depuis des décennies. Déterminées à rejoindre cet allié inconnu au Texas, elles se mettent en route, mais le Terminator Rev-9 les poursuit sans relâche, de même que la police, les drones et les patrouilles frontalières… L’enjeu est d’autant plus grand que sauver Dani, c’est sauver l’avenir de l’humanité."
"The Peanut Butter Falcon FRENCH DVDRIP 2020";"823";"109";"695.24MB";"14/01/2020";"Films";"Drame";"Une petite frappe en cavale va devenir le coach de catch et allié de Zak, un jeune homme trisomique. Zak est lui aussi en fuite, il a quitté son foyer en vue d'essayer de réaliser son rêve : celui de devenir une catcheur professionnel et rejoindre l'école de catch de Saltwater Redneck."
"Star Trek Sans limites FRENCH DVDRIP 2016";"254";"19";"1.38GB";"13/01/2020";"Films";"Sciencefiction";"Une aventure toujours plus épique de l’USS Enterprise et de son audacieux équipage. L’équipe explore les confins inexplorés de l'espace, faisant face chacun, comme la Fédération toute entière, à une nouvelle menace."
"Star Trek Into Darkness FRENCH DVDRIP 2013";"151";"32";"1.37GB";"13/01/2020";"Films";"Sciencefiction";"Alors qu’il rentre à sa base, l’équipage de l’Enterprise doit faire face à des forces terroristes implacables au sein même de son organisation. L’ennemi a fait exploser la flotte et tout ce qu’elle représentait, plongeant notre monde dans le chaos…Dans un monde en guerre, le Capitaine Kirk, animé par la vengeance, se lance dans une véritable chasse à l’homme, pour neutraliser celui qui représente à lui seul une arme de destruction massive.Nos héros entrent dans un jeu d’échecs mortel. L’amour sera menacé, des amitiés seront brisées et des sacrifices devront être faits dans la seule famille qu’il reste à Kirk : son équipe."
"Star Trek FRENCH DVDRIP 2009";"256";"17";"698.55MB";"13/01/2020";"Films";"Sciencefiction";NA
"The Swap FRENCH WEBRIP 2018";"86";"9";"699.82MB";"13/01/2020";"Films";"Comédie";"Alors qu'Ellie jongle entre ses cours de sport et sa meilleure amie, Jack tente d'égaler les performances au hockey de son frère et de satisfaire son père..."
"La Ch’tite famille FRENCH HDlight 1080p 2018";"60";"7";"2.42GB";"13/01/2020";"Films";"Comédie";"Valentin D. et Constance Brandt, un couple d’architectes designers en vogue préparent le vernissage de leur rétrospective au Palais de Tokyo. Mais ce que personne ne sait, c’est que pour s’intégrer au monde du design et du luxe parisien, Valentin a menti sur ses origines prolétaires et ch'tis. Alors, quand sa mère, son frère et sa belle-sœur débarquent par surprise au Palais de Tokyo, le jour du vernissage, la rencontre des deux mondes est fracassante. D’autant plus que Valentin, suite à un accident, va perdre la mémoire et se retrouver 20 ans en arrière, plus ch’ti que jamais !"
"Terminal FRENCH DVDRIP 2018";"194";"37";"700.07MB";"13/01/2020";"Films";"Policier,Thriller";"Deux assassins professionnels sont engagés dans une mission suicide par un mystérieux employeur qui paye bien. Mais en route, le duo rencontre Annie, peut-être plus impliquée dans leur mission qu'elle ne le dit."
"Un Beau Soleil Intérieur FRENCH DVDRIP 2018";"32";"8";"701.14MB";"13/01/2020";"Films";"Comédie";"Isabelle, divorcée, un enfant, cherche un amour. Enfin un vrai amour."
"Sleeper FRENCH WEBRIP 2018";"144";"16";"702.27MB";"13/01/2020";"Films";"Policier,Thriller";"Après sept ans de mariage, Jennifer se pose des questions sur son mari, Freddy, un fleuriste. Elle est persuadée qu'il la trompe. La jeune femme constate qu'il parle avec un accent étrange dans son sommeil. Freddy se fait renverser par un chauffard, qui prend la fuite. Jennifer décide de fouiller l'arrière-boutique. Elle y découvre une pièce secrète..."
"Bienvenue chez les Ch'tis TRUEFRENCH DVDRIP 2008";"181";"14";"699.96MB";"13/01/2020";"Films";"Comédie";"Philippe Abrams est directeur de la poste de Salon-de-Provence. Il est marié à Julie, dont le caractère dépressif lui rend la vie impossible. Pour lui faire plaisir, Philippe fraude afin d'obtenir une mutation sur la Côte d'Azur. Mais il est démasqué: il sera muté à Bergues, petite ville du Nord.Pour les Abrams, sudistes pleins de préjugés, le Nord c'est l'horreur, une région glacée, peuplée d'êtres rustres, éructant un langage incompréhensible, le \"cheutimi\". Philippe ira seul. A sa grande surprise, il découvre un endroit charmant, une équipe chaleureuse, des gens accueillants, et se fait un ami : Antoine, le facteur et le carillonneur du village, à la mère possessive et aux amours contrariées. Quand Philippe revient à Salon, Julie refuse de croire qu'il se plait dans le Nord. Elle pense même qu'il lui ment pour la ménager. Pour la satisfaire et se simplifier la vie, Philippe lui fait croire qu'en effet, il vit un enfer à Bergues. Dès lors, sa vie s'enfonce dans un mensonge confortable..."
"La Crème de la Crème FRENCH DVDRIP 2014";"145";"16";"700.35MB";"13/01/2020";"Films";"Comédiedramatique";"Dan, Kelliah et Louis sont trois étudiants d'une des meilleures écoles de commerce de France. Ils sont formés pour devenir l’élite de demain et sont bien décidés à passer rapidement de la théorie à la pratique. Alors que les lois du marché semblent s’appliquer jusqu’aux relations entre garçons et filles, ils vont transformer leur campus en lieu d’étude et d’expérimentation. La crème de la crème de la jeunesse française s'amuse et profite pleinement de ses privilèges : tout se vend car tout s’achète… mais dans quelle limite ?"
"Ant Man et la Guêpe TRUEFRENCH DVDRIP 2018";"104";"19";"1.39GB";"13/01/2020";"Films";"Action,Aventure";"Après les événements survenus dans Captain America : Civil War, Scott Lang a bien du mal à concilier sa vie de super-héros et ses responsabilités de père. Mais ses réflexions sur les conséquences de ses choix tournent court lorsque Hope van Dyne et le Dr Hank Pym lui confient une nouvelle mission urgente Scott va devoir renfiler son costume et apprendre à se battre aux côtés de La Guêpe afin de faire la lumière sur des secrets enfouis de longue date…"
"Ant-Man FRENCH HDlight 1080p 2015";"38";"20";"3.28GB";"13/01/2020";"Films";"Action,Aventure";"Scott Lang, cambrioleur de haut vol, va devoir apprendre à se comporter en héros et aider son mentor, le Dr Hank Pym, à protéger le secret de son spectaculaire costume d’Ant-Man, afin d’affronter une effroyable menace…"
"Thor : Le Monde des ténèbres FRENCH DVDRIP AC3 2013";"70";"29";"1.37GB";"13/01/2020";"Films";"Action,Aventure";"Thor : Le Monde des ténèbres nous entraîne dans les nouvelles aventures de Thor, le puissant Avenger, qui lutte pour sauver la Terre et les neuf mondes d’un mystérieux ennemi qui convoite l’univers tout entier… Après les films Marvel Thor et Avengers, Thor se bat pour restaurer l’ordre dans le cosmos, mais une ancienne race, sous la conduite du terrible Malekith, un être assoiffé de vengeance, revient pour répandre les ténèbres. Confronté à un ennemi que même Odin et Asgard ne peuvent contrer, Thor doit s’engager dans son aventure la plus dangereuse et la plus personnelle, au cours de laquelle il va devoir s’allier au traître Loki pour sauver non seulement son peuple et ceux qui lui sont chers, mais aussi l’univers lui-même."
"Les Filles du Docteur March TRUEFRENCH DVDSCR MD 2020";"475";"109";"1.55GB";"13/01/2020";"Films";"Romance";"Vidéo : 8  | Audio : 6"
"L'Incroyable Hulk TRUEFRENCH DVDRIP 2008";"185";"41";"1.37GB";"12/01/2020";"Films";"Action,Aventure";"Le scientifique Bruce Banner cherche désespérément un antidote aux radiations gamma qui ont créé Hulk. Il vit dans l'ombre, toujours amoureux de la belle Betty Ross et parcourt la planète à la recherche d'un remède. La force destructrice de Hulk attire le Général Thunderbolt Ross et son bras droit Blonsky qui rêvent de l'utiliser à des fins militaires. Ils tentent de développer un sérum pour créer des soldats surpuissants. De retour aux Etats-Unis, Bruce Banner se découvre un nouvel ennemi. Après avoir essayé le sérum expérimental, Blonsky est devenu L'Abomination, un monstre incontrôlable dont la force pure est même supérieure à celle de Hulk. Devenu fou, il s'est transformé en plein coeur de New York. Pour sauver la ville de la destruction totale, Bruce Banner va devoir faire appel au monstre qui sommeille en lui..."
"Thor TRUEFRENCH DVDRIP 2011";"150";"11";"705.09MB";"12/01/2020";"Films";"Action,Aventure";"Thor est un guerrier Marvel tout-puissant et arrogant, banni du Royaume mythique d'Asgard et condamné à vivre parmi les humains. Lorsque les forces du mal s'apprêtent à se déchaîner sur la Terre, Thor va apprendre à se comporter en véritable héros…"
"Lord of war FRENCH DVDRIP 2006";"323";"32";"699.73MB";"12/01/2020";"Films";"Drame";"Né en Ukraine avant l'effondrement du bloc soviétique, Yuri arrive aux Etats-Unis avec ses parents. Il se fait passer pour un émigrant juif...Audacieux et fin négociateur, il se fait une place dans le trafic d'armes. Les énormes sommes d'argent qu'il gagne lui permettent aussi de conquérir celle qui l'a toujours fasciné, la belle Ava.Parallèlement à cette vie de mari et de père idéal, Yuri devient l'un des plus gros vendeurs d'armes clandestins du monde. Utilisant ses relations à l'Est, il multiplie les coups toujours plusrisqués, mais parvient chaque fois à échapper à Jack Valentine, l'agent d'Interpol qui le pourchasse.Des luxueux immeubles new-yorkais aux palais des dictateurs africains, Yuri joue de plus en plus gros. Convaincu de sa chance, il poursuit sa double vie explosive, jusqu'à ce que le destin et sa conscience le rattrapent..."
"Drone Wars FRENCH WEBRIP 2018";"158";"22";"1.33GB";"12/01/2020";"Films";"Action,Aventure";"Privée de toutes ses ressources, la Terre est surveillée par des drones qui suppriment tout ce qu'ils considèrent comme une menace. Mais une équipe de scientifiques tente de survivre dans ce chaos et d'éliminer définitivement ces drones ainsi que le vaisseau mère."
"Gloria Bell TRUEFRENCH DVDRIP 2019";"138";"12";"698.54MB";"12/01/2020";"Films";"Romance";"La cinquantaine frémissante, Gloria est une femme farouchement indépendante. Tout en étant seule, elle s'étourdit, la nuit, dans les dancings pour célibataires de Los Angeles, en quête de rencontres de passage. Jusqu'au jour où elle croise la route d'Arnold. S'abandonnant totalement à une folle passion, elle alterne entre espoir et détresse. Mais elle se découvre alors une force insoupçonnée, comprenant qu'elle peut désormais s'épanouir comme jamais auparavant…"
"Gloria Bell FRENCH BluRay 720p 2019";"51";"10";"3.75GB";"12/01/2020";"Films";"Romance";"La cinquantaine frémissante, Gloria est une femme farouchement indépendante. Tout en étant seule, elle s'étourdit, la nuit, dans les dancings pour célibataires de Los Angeles, en quête de rencontres de passage. Jusqu'au jour où elle croise la route d'Arnold. S'abandonnant totalement à une folle passion, elle alterne entre espoir et détresse."
"Ni une ni deux FRENCH WEBRIP 2019";"314";"20";"702.52MB";"12/01/2020";"Films";"Comédie";"Suite à une opération de chirurgie esthétique ratée, une comédienne fait appel à un sosie pour la remplacer sur son prochain tournage... sans se douter qu’il s’agit de sa propre sœur jumelle dont elle ignorait l’existence."
"Deux Moi FRENCH DVDRIP 2020";"726";"74";"697.09MB";"12/01/2020";"Films";"Drame";"Rémy et Mélanie ont trente ans et vivent dans le même quartier à Paris. Elle multiplie les rendez-vous ratés sur les réseaux sociaux pendant qu'il peine à faire une rencontre. Tous les deux victimes de cette solitude des grandes villes, à l’époque hyper connectée où l’on pense pourtant que se rencontrer devrait être plus simple… Deux individus, deux parcours. Sans le savoir, ils empruntent deux routes qui les mèneront dans une même direction… celle d’une histoire amour ?"
"Photo De Famille FRENCH DVDRIP 2019";"109";"4";"693.7MB";"12/01/2020";"Films";"Drame";NA
"Walter FRENCH WEBRIP 2019";"417";"27";"693.87MB";"12/01/2020";"Films";"Comédie";"Pour Goran et son équipe de braqueurs amateurs, le plan était presque parfait : pénétrer de nuit dans un hypermarché pour dévaliser une bijouterie. Mais ces « bras cassés » n’avaient pas prévu l’arrivée d’un vigile pas comme les autres : Walter, un ex-chef de guerre africain qui va les envoyer en enfer…"
"No Surrender FRENCH DVDRIP 2019";"193";"36";"693.89MB";"12/01/2020";"Films";"Action,Aventure";"Au cours des années 1940, une jeune fille a été violée par un groupe de soldats anglais et trois jeunes Egyptiens se sont vengés. Le soldat britannique est actuellement détenu au commissariat de Karamouz à Alexandrie, sous la direction du général Youssef al-Masri (Amir Karara). Le général Frank Adams demande que le soldat anglais lui soit remis, mais Yusuf refuse. L'armée britannique est amenée à bloquer le poste de police et entre dans un affrontement acharné avec le général Yusuf et le reste des soldats égyptiens."
"How High 2 FRENCH WEBRIP 2019";"240";"22";"701.87MB";"12/01/2020";"Films";"Comédie";"Deux jeunes fumeurs de joints doués en affaires traversent Atlanta pour retrouver leur weed, qui a disparu, mais les choses ne sont pas si simples..."
